ThresholdSillBoltHoleId,IdThresholdSill,ThresholdSillBoltHoleDepth,ThresholdSillBoltHoleShape,ThresholdSillBoltHoleRadius,ThresholdSillBoltHoleWidth,ThresholdSillBoltHoleLength
C1BT0003,T0003,,SQUARED,,6.5,10
C1BT0011,T0011,,SQUARED,,6,4.5
L1BT0049,T0049,3.5,SQUARED,,5,4.5
R1BT0051,T0051,3.5,SQUARED,,4.5,3.5
C1BT0054,T0054,1,SQUARED,,1,1
C1BT0045,T0045,10,SQUARED,,10,4
L1BT0057,T0057,3.5,SQUARED,,5,3.5
R1BT0057,T0057,3.5,SQUARED,,4,4
C1BT0058,T0058,3.5,SQUARED,,4.5,4
L2BT0059,T0059,2,SQUARED,,2.5,6.5
L1BT0059,T0059,1,ROUND,2,,
R2BT0059,T0059,2,SQUARED,,2.5,6.5
R1BT0059,T0059,1,ROUND,2,,
C1BT0060,T0060,4,SQUARED,,6,4.5
C1BT0061,T0061,4.5,SQUARED,,6,4.5
R1BT0061,T0061,4,SQUARED,,4.5,5
C1BT0064,T0064,4,SQUARED,,7.5,5
C2BT0064,T0064,4,SQUARED,,7.5,5.5
C1BT0066,T0066,2,SQUARED,,14,3
R1BT1822,T1822,2,SQUARED,,6,4.5
L1BT1822,T1822,1,SQUARED,,3.5,3
C1BT0072,T0072,5,SQUARED,,5,5.5
C1BT0073,T0073,3,SQUARED,,5,3
L1BT0088,T0088,2,SQUARED,,2,2
L3BT0088,T0088,2,SQUARED,,2,2
L2BT0088,T0088,2,SQUARED,,2,2
C1BT0091,T0091,2.5,SQUARED,,2.5,2
C2BT0091,T0091,4,SQUARED,,5.5,4
C1BT0092,T0092,,SQUARED,,,
C2BT0092,T0092,,SQUARED,,,
C1BT0096,T0096,4.5,SQUARED,,6,6
C2BT0096,T0096,1,SQUARED,,28,3
C1BT0098,T0098,3,SQUARED,,4.5,4.5
C1BT0109,T0109,1,SQUARED,,4,4
C1BT0136,T0136,1.5,SQUARED,,6,4
C1BT0434,T0434,,SQUARED,,6,4
C2BT0434,T0434,,SQUARED,,4,4
C3BT0434,T0434,,SQUARED,,3,3
C4BT0434,T0434,,SQUARED,,2.5,2.5
C1BT0527,T0527,,SQUARED,,6,4
R1BT0618,T0618,3,SQUARED,,7,8
R1BT0607,T0607,3,SQUARED,,4,4
C2BT0527,T0527,,SQUARED,,4,4
C3BT0527,T0527,,SQUARED,,3,3
C4BT0527,T0527,,SQUARED,,2.5,2.5
C1BT0595,T0595,,SQUARED,,6,4
C2BT0595,T0595,,SQUARED,,4,4
C3BT0595,T0595,,SQUARED,,3,3
C4BT0595,T0595,,SQUARED,,2.5,2.5
C1BT0697,T0697,3,SQUARED,,4,3
C1BT0701,T0701,1,SQUARED,,7,3
C1BT0712,T0712,2,SQUARED,,5,4
R1BT0712,T0712,2,SQUARED,,5,4
C1BT0717,T0717,3,SQUARED,,7,5
C1BT0719,T0719,,SQUARED,,8,9
C1BT0741,T0741,1.5,ROUND,1.5,,
C1BT0765,T0765,1.5,ROUND,1.5,,
C1BT0771,T0771,3,SQUARED,,8,3.5
C1BT0788,T0788,3,SQUARED,,8,3.5
C1BT0810,T0810,2,SQUARED,,6.5,6
C1BT0830,T0810,2,SQUARED,,6.5,6
C1BT0857,T0857,3,SQUARED,,7,3
C1BT0895,T0895,2,SQUARED,,9.5,4
C1BT0924,T0924,2,SQUARED,,9.5,4
C1BT1048,T1048,1,SQUARED,,4,5
C1BT1061,T1061,3.5,SQUARED,,7,6
R1BT1064,T1064,4,SQUARED,,8,6
L1BT1064,T1064,2,SQUARED,,3.5,3.5
C1BT1076,T1076,3.5,SQUARED,,7,6
C1BT1067,T1067,1,SQUARED,,4,5
C1BT1134,T1134,6,SQUARED,,6,5
C2BT1134,T1134,4,SQUARED,,5,4
C1BT1123,T1123,7,SQUARED,,6,5
C1BT1107,T1107,6,SQUARED,,6,5
C2BT1107,T1107,4,SQUARED,,5,4
C1BT1201,T1201,2,SQUARED,,3,3
C3BT1409,T1409,1,SQUARED,,5,4
C2BT1409,T1409,1.5,SQUARED,,5,3
C1BT1409,T1409,1,SQUARED,,6,3
C4BT1425,T1425,1,SQUARED,,3,2.5
C3BT1425,T1425,3,SQUARED,,6.5,4
C2BT1425,T1425,2,SQUARED,,5,4
C1BT1425,T1425,4,SQUARED,,3,3
C1BT1465,T1465,,SQUARED,,9,9
C1BT1535,T1535,1,SQUARED,,3,3
C1BT1524,T1524,1,SQUARED,,,1
L1BT1524,T1524,1,SQUARED,,3,3
R1BT1524,T1524,1,SQUARED,,5,2
C1BT1566,T1566,3,SQUARED,,7,3
C1BT1556,T1556,2,SQUARED,,3,2
C2BT1556,T1556,3,SQUARED,,2,3
C1BT1645,T1645,1,SQUARED,,3,2
L1BT1746,T1746,1.5,SQUARED,,9.5,3
C1BT1746,T1746,1,SQUARED,,2,2
C2BT1746,T1746,2,SQUARED,,5,4
C3BT1746,T1746,2,SQUARED,,4,3
C4BT1746,T1746,2,SQUARED,,3,3
C5BT1746,T1746,2,SQUARED,,2,2
C6BT1746,T1746,2,SQUARED,,2.5,2.5
C1BT1808,T1808,2,SQUARED,,4,3.5
C2BT1808,T1808,2,SQUARED,,3.5,4
L1BT1834,T1833,3.5,SQUARED,,5,4.5
R1BT1835,T1835,3.5,SQUARED,,4.5,3.5
C1BT1838,T1838,1,SQUARED,,1,1
L1BT1841,T1841,3.5,SQUARED,,5,3.5
R1BT1841,T1841,3.5,SQUARED,,4,4
C1BT1842,T1842,3.5,SQUARED,,4.5,4
L2BT1843,T1843,2,SQUARED,,2.5,6.5
L1BT1843,T1843,1,ROUND,2,,
R2BT1843,T1843,2,SQUARED,,2.5,6.5
R1BT1843,T1843,1,ROUND,2,,
C1BT1844,T1844,4,SQUARED,,6,4.5
C1BT1847,T1847,4,SQUARED,,7.5,5
C2BT1847,T1847,4,SQUARED,,7.5,5.5
C1BT1849,T1849,2,SQUARED,,14,3
C1BT1853,T1853,5,SQUARED,,5,5.5
C1BT1854,T1854,3,SQUARED,,5,3
